video_name,environment_type,description,weather,time_of_day,terrain,crowd_level,lighting
VIRAT_S_050201_11_002090_002220,parking_lot,"A wet parking lot with several parked cars and a person with an umbrella walking through. Trees border the area, and there is a building on one side.",rainy,day,paved,low,natural
VIRAT_S_010005_03_000215_000270,plaza,"An open plaza with tables and chairs under red umbrellas, surrounded by buildings on two sides. The area includes a grassy hill and trees.",sunny,day,paved,low,natural
VIRAT_S_010004_06_000547_000715,plaza,"An outdoor plaza with patio umbrellas and seating areas, adjacent to a building with stairs leading up to it. There is a grassy area with trees, and the surroundings include paved walkways.",sunny,day,paved,low,natural
VIRAT_S_010003_09_000779_000861,plaza,"An outdoor plaza with tables and umbrellas on a paved surface, surrounded by low brick buildings. There is a grassy area with trees and mountains in the background.",sunny,day,paved,low,natural
VIRAT_S_010201_07_000601_000697,plaza,"The scene depicts a campus plaza with a building labeled ''Student Services'' and outdoor seating areas. There are a few people walking and standing around, with some greenery and trees lining the pathways.",sunny,day,paved,low,natural
VIRAT_S_010000_00_000000_000165,plaza,"An open plaza with tables and orange umbrellas, bordered by buildings and a grassy area with trees. There are mountains in the background.",sunny,day,paved,low,natural
VIRAT_S_000200_06_001693_001824,parking_lot,An open parking lot with few cars parked and some pedestrians walking. Surrounding buildings and trees are visible in the background.,cloudy,day,paved,low,natural
VIRAT_S_010110_06_000953_001011,parking_lot,A large paved parking lot with numerous parked cars and some trees. A building is visible in the background along with a sports field.,sunny,day,paved,medium,natural
VIRAT_S_040002_03_001525_001569,campus,The scene depicts a university or college campus with several buildings surrounded by green trees and paved roads. There is a parking lot with a few cars and a grassy area in the foreground.,sunny,day,paved,low,natural
VIRAT_S_050300_09_001789_001858,parking_lot,The scene shows an open parking lot adjacent to a street. There are several parked cars and some trees in the background near a building.,cloudy,day,paved,low,natural
VIRAT_S_050201_02_000395_000483,parking_lot,"The image shows a parking lot with several parked vehicles on a wet, paved surface. There are designated parking spaces and yellow road markings. Trees and a brick structure are visible in the background.",rainy,day,paved,low,natural
VIRAT_S_010110_03_000712_000739,parking_lot,"A parking lot with several cars parked in rows, adjacent to a large building surrounded by some trees.",sunny,day,paved,medium,natural
VIRAT_S_040005_08_001225_001276,park,"The scene depicts a landscaped area with grassy terrain, surrounded by trees and buildings in a suburban setting. The area is adjacent to a road with sparse vehicle traffic.",sunny,day,grass,low,natural
VIRAT_S_050000_10_001462_001491,street,"A street scene with multiple vehicles parked and moving, surrounded by trees and buildings. Traffic cones indicate roadwork in progress.",sunny,day,paved,low,natural
VIRAT_S_040000_05_000668_000703,park,"The scene includes a green grassy area surrounded by paved paths, streets, and buildings. There are trees lining the streets and scattered lampposts.",sunny,day,grass,low,natural
VIRAT_S_010206_04_000720_000767,plaza,"An open, paved area in front of a building labeled ''Student Services''. There are walkways with some greenery and trees bordering the space.",cloudy,day,paved,low,natural
VIRAT_S_010205_06_000830_000904,plaza,An outdoor area in front of a student services building with pathways and a few people walking around. There is a parked vehicle near the building and greenery on the side.,cloudy,day,paved,low,natural
VIRAT_S_010005_01_000085_000164,plaza,An open plaza with outdoor seating and tables shaded by umbrellas. The area features a set of stairs leading up to a grassy section with trees and a building with a modern design in the background.,sunny,day,paved,low,natural
VIRAT_S_010106_01_000493_000526,parking_lot,"A large open parking lot with several parked vehicles, surrounded by buildings and some greenery.",sunny,day,paved,low,natural
VIRAT_S_050301_00_000000_000036,parking_lot,"An open area with several cars parked sparsely, surrounded by greenery and adjacent to a street with moderate traffic.",cloudy,day,paved,low,natural
VIRAT_S_000207_04_000902_000934,parking_lot,"An open parking lot with a few cars parked, surrounded by buildings and trees.",cloudy,day,paved,low,natural
